"inverse_data","week_day","hour","state","road_id","km","city","cause_of_accident","type_of_accident","victims_condition","weather_timestamp","road_direction","wheather_condition","road_type","road_delineation","people","deaths","slightly_injured","severely_injured","uninjured","ignored","total_injured","vehicles_involved","latitude","longitude","regional","police_station"
"2017-01-01","sunday","01:45:00","RS","116","34,9","VACARIA","Mechanical loss/defect of vehicle","Rear-end collision","With injured victims","Night","Decreasing","Clear sky","Simple","Straight"," 6"," 0"," 4"," 0"," 2"," 0"," 4"," 2","-2.850712e+01","-5.094118e+01","SPRF-RS","DEL05-RS"
"2017-01-01","sunday","01:00:00","PR","376","636","TIJUCAS DO SUL","Incompatible velocity","Run-off-road","With dead victims","Night","Increasing","Drizzle","Double","Curve"," 2"," 1"," 0"," 0"," 1"," 0"," 0"," 2","-2.575400e+01","-4.912660e+01","SPRF-PR","DEL01-PR"
"2017-01-01","sunday","04:40:00","BA","101","65","ENTRE RIOS","Driver was sleeping","Head-on collision","With dead victims","Sunrise","Decreasing","Cloudy","Simple","Curve"," 5"," 1"," 1"," 1"," 2"," 0"," 2"," 2","-1.196180e+01","-3.809530e+01","SPRF-BA","DEL01-BA"
"2017-01-01","sunday","06:30:00","PA","316","72,5","CASTANHAL","Driver's lack of attention to conveyance","Side impact collision","With dead victims","Sunrise","Decreasing","Clear sky","Simple","Straight"," 4"," 1"," 0"," 0"," 3"," 0"," 0"," 3","-1.289980e+00","-4.783483e+01","SPRF-PA","DEL01-PA"
"2017-01-01","sunday","09:00:00","GO","20","220,5","POSSE","Road's defect","Collision with fixed object","With injured victims","Day","Decreasing","Clear sky","Simple","Temporary Detour"," 3"," 0"," 2"," 1"," 0"," 0"," 3"," 1","-1.414221e+01","-4.632259e+01","SPRF-DF","DEL02-DF"
"2017-01-01","sunday","07:40:00","RN","405","30","MOSSORO","Alcohol consumption","Head-on collision","With dead victims","Day","Increasing","Clear sky","Simple","Straight"," 2"," 1"," 0"," 0"," 1"," 0"," 0"," 2","-5.313600e+00","-3.756900e+01","SPRF-RN","DEL04-RN"
"2017-01-01","sunday","10:35:00","PR","376","249,5","APUCARANA","Disrespect of safe distance from the next car","Rear-end collision","With injured victims","Day","Increasing","Clear sky","Simple","Curve"," 5"," 0"," 1"," 0"," 4"," 0"," 1"," 2","-2.361074e+01","-5.139895e+01","SPRF-PR","DEL07-PR"
"2017-01-01","sunday","11:50:00","MG","262","483,1","BOM DESPACHO","Driver was sleeping","Side impact collision","Without victims","Day","Increasing","Clear sky","Simple","Straight"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 2","-1.978562e+01","-4.530956e+01","SPRF-MG","DEL08-MG"
"2017-01-01","sunday","10:30:00","MT","364","469","VARZEA GRANDE","Mechanical loss/defect of vehicle","Overturn","With injured victims","Day","Increasing","Sunny","Simple","Not Reported"," 3"," 0"," 3"," 0"," 0"," 0"," 3"," 1","-1.535687e+01","-5.641299e+01","SPRF-MT","DEL01-MT"
"2017-01-01","sunday","08:30:00","MA","316","375","BACABAL","Alcohol consumption","Head-on collision","With dead victims","Day","Increasing","Clear sky","Simple","Straight"," 2"," 1"," 0"," 0"," 1"," 0"," 0"," 2","-4.213500e+00","-4.466290e+01","SPRF-MA","DEL02-MA"
